recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,written_during_early_access,comment_count,steam_purchase,received_for_free,cleaned_review,vader_score,label
221615264,english,"This game is amazing!

I first played this game with family, and it ended up being one of the most interesting and unique gaming experiences that i have ever had. i swear, every time someone picked up some new piece of awesome loot our cats would run and hide because we would all start screaming at each other because everyone wanted the special gear for our builds. its just so much fun when, as a family, you slaughter an entire group of enemies with the most disgusting and evil blood magic, and then suck out their very souls afterwards! ahh good times.

the necromancy in this game is AMAZING!!! definitely the coolest necromancy/blood magic that has ever existed. and there is nothing more satisfying than having your little sibling steal that awesome new wand that would go perfectly on YOUR character, and then use them as a conductor for chain lightning just out of spite!

the story is flat out amazing, the soundtracks are beautiful, the artwork is stunning, the characters can be both sinister and adorable, the humor is top-notch, and the best part (to me at least): every single ability feels both powerful and unique.

all in all, this is one of the best games that i have ever played and probably ever will play and it only gets better when you play with people you know. 100/10 i cannot recommend this game enough!",1774390413,1774390413,True,32,4,0.746376633644104,False,0,True,False,game amazing first played game family ended one interesting unique gaming experience ever swear every time someone picked new piece awesome loot cat would run hide would start screaming everyone wanted special gear build much fun family slaughter entire group enemy disgusting evil blood magic suck soul afterwards ahh good time necromancy game amazing definitely coolest necromancyblood magic ever existed nothing satisfying little sibling steal awesome new wand would go perfectly character use conductor chain lightning spite story flat amazing soundtrack beautiful artwork stunning character sinister adorable humor topnotch best part least every single ability feel powerful unique one best game ever played probably ever play get better play people know recommend game enough,0.9925,1
221501381,english,Good game. Fun campaign. Not too long. Just about right. It is fun and has good combat.,1774283382,1774283451,True,9,5,0.6283783912658691,False,1,True,False,good game fun campaign long right fun good combat,0.875,1
221974475,english,"Finished it with a friend. I played with a tank and melee dps, she played with a mage and a healer. We had also played and completed the first game, so we knew what we were getting into. The game fulfilled AND surpassed our expectations:

- great character customization and very interesting pre-made ones, with their own stories and quests
- we loved the new races, classes and skills added
- so many different playstyles you could never get bored
- beautifully designed and written quests and main storyline
- good itemization system

One of the best RPG games I've ever played.
",1774749665,1774749665,True,12,0,0.6439682841300964,False,0,True,False,finished friend played tank melee dp played mage healer also played completed first game knew getting game fulfilled surpassed expectation great character customization interesting premade one story quest loved new race class skill added many different playstyles could never get bored beautifully designed written quest main storyline good itemization system one best rpg game ive ever played,0.9842,1
222890822,english,"This is one of the best games that i have played, The story and lore is amazing. 
The game mechanics are extremely fun. 
Its just so DAMN good!!!
I hope Larian will make Divinity Original Sin 3, god please! :D",1775756702,1775756702,True,7,0,0.5870206356048583,False,0,True,False,one best game played story lore amazing game mechanic extremely fun damn good hope larian make divinity original sin god please,0.9797,1
223199328,english,"Best game ever, recommended to everyone who loves standing in cursed fire \ water \ poison \ gas clouds \ shock etc in all fights",1776109051,1776109051,True,3,2,0.5338982939720153,False,0,True,False,best game ever recommended everyone love standing cursed fire water poison gas cloud shock etc fight,-0.128,1
221477556,english,Another classic. So much to do! Years down the line this game will still be amazing.,1774263862,1774263862,True,3,0,0.5507487654685974,False,0,True,False,another classic much year line game still amazing,0.6239,1
223247369,english,"Amazing i am having so much fun 

Larian do exploration the best in my opinion 

Combat Excellent 

Writing Great

Highly recommend",1776179365,1776179365,True,2,0,0.5454545617103576,False,0,True,False,amazing much fun larian exploration best opinion combat excellent writing great highly recommend,0.9708,1
222227788,english,"One of the best RPG, All though it is hard to get into but it's well worth the struggle.",1775016651,1775016651,True,3,1,0.5454545617103576,False,1,True,False,one best rpg though hard get well worth struggle,0.5346,1
223628328,english,"I bought this game after playing Baldur's Gate 3 hoping that I would enjoy the same Larian Studio's magic but I just can't get into it, I have tried 3 times and sunk in almost 10 hours and it feels like I'm literally going nowhere. this is a really difficult game and if you really love RPGS with a lot of depth I think you'll dig it. I do not have the time to try and master the combat in this game. The system is very complex and I'm sure once you spend some serious time with it I'm sure the game gets really good. For those of us with less patience it's probably a good idea to pass on this title.",1776608925,1776608925,False,1,1,0.5238095521926879,False,2,True,False,bought game playing baldurs gate hoping would enjoy larian studio magic cant get tried time sunk almost hour feel like im literally going nowhere really difficult game really love rpgs lot depth think youll dig time try master combat game system complex im sure spend serious time im sure game get really good u less patience probably good idea pas title,0.9688,0
223588193,english,"This is a classic RPG, DOS and DOS2 both set the standard for RPG games moving forward.  I have played this game periodically over the years on several different platforms.   This time is a new playthrough with my kids who asked me what my favorite RPG games were.",1776568563,1776568563,True,1,0,0.5238095521926879,False,0,True,False,classic rpg do do set standard rpg game moving forward played game periodically year several different platform time new playthrough kid asked favorite rpg game,0.6597,1
